timestamp,device_id,test_id,waveform_type,bias,amplitude,frequency,test_purpose,quality_label,notes,cycle_id,feedback_position_%,setpoint_position_%,motor_torque_Nmm,power_W,internal_temperature_deg_C,rotation_direction,test_number,source_file,elapsed_seconds,dt_seconds,velocity,temperature_rate
2026-03-16 18:26:26.925000+00:00,BELIMO-8,P1_MID_HOLD_001,constant,50.0,0.0,0.0,static hold near mid opening for settling and noise baseline,unreviewed,,0,19.98,20.0,0.0,0.0,26.3,0,1001,P1_MID_HOLD_001_telemetry.csv,1.467,0.04700000000000015,-2.842170943040401e-14,-1.0638297872341127
2026-03-16 18:26:26.972000+00:00,BELIMO-8,P1_MID_HOLD_001,constant,50.0,0.0,0.0,static hold near mid opening for settling and noise baseline,unreviewed,,0,19.98,20.0,0.0,0.0,26.3,0,1001,P1_MID_HOLD_001_telemetry.csv,1.514,0.04699999999999993,0.0,0.0
2026-03-16 18:26:27.018000+00:00,BELIMO-8,P1_MID_HOLD_001,constant,50.0,0.0,0.0,static hold near mid opening for settling and noise baseline,unreviewed,,0,19.98,20.0,0.0,0.0,26.3,0,1001,P1_MID_HOLD_001_telemetry.csv,1.56,0.04600000000000004,2.842170943040401e-14,5.684341886080802e-14
2026-03-16 18:26:27.076000+00:00,BELIMO-8,P1_MID_HOLD_001,constant,50.0,0.0,0.0,static hold near mid opening for settling and noise baseline,unreviewed,,0,19.98,20.0,0.0,0.0,26.3,0,1001,P1_MID_HOLD_001_telemetry.csv,1.618,0.05800000000000005,0.0,0.0
2026-03-16 18:26:27.122000+00:00,BELIMO-8,P1_MID_HOLD_001,constant,50.0,0.0,0.0,static hold near mid opening for settling and noise baseline,unreviewed,,0,19.98,20.0,0.0,0.0,26.3,0,1001,P1_MID_HOLD_001_telemetry.csv,1.664,0.04599999999999982,-2.842170943040401e-14,0.0
2026-03-16 18:26:27.171000+00:00,BELIMO-8,P1_MID_HOLD_001,constant,50.0,0.0,0.0,static hold near mid opening for settling and noise baseline,unreviewed,,0,19.98,20.0,0.0,0.0,26.3,0,1001,P1_MID_HOLD_001_telemetry.csv,1.713,0.049000000000000155,-5.684341886080802e-14,0.0
2026-03-16 18:26:27.218000+00:00,BELIMO-8,P1_MID_HOLD_001,constant,50.0,0.0,0.0,static hold near mid opening for settling and noise baseline,unreviewed,,0,19.98,20.0,0.0,0.0,26.3,0,1001,P1_MID_HOLD_001_telemetry.csv,1.76,0.04699999999999993,0.0,0.0
2026-03-16 18:26:27.265000+00:00,BELIMO-8,P1_MID_HOLD_001,constant,50.0,0.0,0.0,static hold near mid opening for settling and noise baseline,unreviewed,,0,19.98,20.0,0.0,0.0,26.3,0,1001,P1_MID_HOLD_001_telemetry.csv,1.807,0.04699999999999993,2.842170943040401e-14,5.684341886080802e-14
2026-03-16 18:26:27.312000+00:00,BELIMO-8,P1_MID_HOLD_001,constant,50.0,0.0,0.0,static hold near mid opening for settling and noise baseline,unreviewed,,0,19.98,20.0,0.0,0.0,26.3,0,1001,P1_MID_HOLD_001_telemetry.csv,1.854,0.04700000000000015,0.0,5.684341886080802e-14
2026-03-16 18:26:27.358000+00:00,BELIMO-8,P1_MID_HOLD_001,constant,50.0,0.0,0.0,static hold near mid opening for settling and noise baseline,unreviewed,,0,19.98,20.0,0.0,0.0,26.3,0,1001,P1_MID_HOLD_001_telemetry.csv,1.9,0.04599999999999982,0.0,-5.684341886080802e-14
2026-03-16 18:26:27.405000+00:00,BELIMO-8,P1_MID_HOLD_001,constant,50.0,0.0,0.0,static hold near mid opening for settling and noise baseline,unreviewed,,0,19.98,20.0,0.0,0.0,26.3,0,1001,P1_MID_HOLD_001_telemetry.csv,1.947,0.04700000000000015,-2.842170943040401e-14,-5.684341886080802e-14
